pID,tID,grade,iteration,competence,participant,repository,technique,bugs_start,bugs_end,total_bugs_start,total_bugs_end,coverage_start,coverage_end,regression_count,crashcount_start,crashcount_end,conformance_tdd,conformance_tld,conformance
P1,"T2,T3,T4",4,0,intermediate,I1,TLD2,TLD,0,1,0,1,0,58.45410628019324,0,0,1,57,71,71
P1,"T5,T6,T13,T14",4,1,intermediate,I1,TDD1,TDD,3,3,39,1053,59.51219512195122,67.47967479674797,0,38,492,57,71,57
P1,"T7,T8,T15",4,2,intermediate,I1,TLD1,TLD,1,1,315,196,70.5223880597015,76.40449438202248,0,315,70,57,71,71
P1,"T9,T10",4,3,intermediate,I1,TDD3,TDD,1,2,196,336,83.54838709677419,83.80681818181819,0,70,70,57,71,57
P1,"T11,T12",4,4,intermediate,I1,TLD3,TLD,6,3,3274,343,82.1011673151751,87.1866295264624,0,175,70,57,71,71
P1,"T16,T17",4,5,intermediate,I1,TDD2,TDD,4,2,464,170,80.50139275766017,84.12698412698413,0,72,2,57,71,57
P1,"T18,T19",4,6,intermediate,I1,NUT1,NUT,0,18,0,6445,0,0,16,0,253,57,71,71
P3,"T2,T3,T4",4,0,intermediate,I2,TDD2,TDD,0,2,0,2,0,69.73684210526316,0,0,1,54,70,54
P3,"T5,T6,T13,T14",4,1,intermediate,I2,TLD3,TLD,3,0,934,0,72.67080745341615,66.20370370370371,1,934,0,54,70,70
P3,"T7,T8,T15",4,2,intermediate,I2,TDD3,TDD,2,1,876,196,69.79695431472081,83.54838709677419,0,0,70,54,70,54
P3,"T9,T10",4,3,intermediate,I2,TLD1,TLD,1,6,196,1156,76.40449438202248,78.30188679245283,4,70,545,54,70,70
P3,"T11,T12",4,4,intermediate,I2,TDD1,TDD,2,2,336,761,75.71884984025559,79.14572864321607,0,70,70,54,70,54
P3,"T16,T17",4,5,intermediate,I2,NUT1,NUT,2,0,532,0,0,0,0,406,0,54,70,70
P3,"T18,T19",4,6,intermediate,I2,TLD2,TLD,0,5,0,199,78.30985915492958,87.04663212435233,3,0,25,54,70,70
P4,"T2,T3,T4",4,0,intermediate,I3,NUT1,NUT,0,1,0,1,0,0,0,0,1,51,71,71
P4,"T5,T6,T13,T14",4,1,intermediate,I3,TLD2,TLD,1,0,1,0,58.45410628019324,61.50627615062761,0,1,0,51,71,71
P4,"T7,T8,T15",4,2,intermediate,I3,TDD1,TDD,3,1,1053,196,67.47967479674797,72.04301075268818,0,492,70,51,71,51
P4,"T9,T10",4,3,intermediate,I3,TLD3,TLD,1,6,126,3274,70.54263565891473,82.1011673151751,4,70,175,51,71,71
P4,"T11,T12",4,4,intermediate,I3,TDD3,TDD,2,2,336,197,83.80681818181819,84.2239185750636,0,70,70,51,71,51
P4,"T16,T17",4,5,intermediate,I3,TLD2,TLD,1,0,70,0,78.00586510263929,78.30985915492958,0,70,0,51,71,71
P4,"T18,T19",4,6,intermediate,I3,TDD2,TDD,2,8,170,114,84.12698412698413,86.01895734597156,6,2,54,51,71,51
P14,"T2,T3,T4",4,0,intermediate,I4,TLD3,TLD,0,3,0,934,0,72.67080745341615,0,0,934,65,86,86
P14,"T5,T6,T13,T14",4,1,intermediate,I4,TDD3,TDD,3,2,142,876,86.23481781376518,69.79695431472081,0,141,0,65,86,65
P14,"T7,T8,T15",4,2,intermediate,I4,NUT1,NUT,5,1,1066,196,0,0,0,1066,70,65,86,86
P14,"T9,T10",4,3,intermediate,I4,TLD2,TLD,2,2,266,840,71.37254901960785,76.84210526315789,0,126,70,65,86,86
P14,"T11,T12",4,4,intermediate,I4,TDD2,TDD,2,4,336,464,81.46718146718146,80.50139275766017,0,70,72,65,86,65
P14,"T16,T17",4,5,intermediate,I4,TLD3,TLD,3,1,343,1154,87.1866295264624,86.19854721549636,0,70,0,65,86,86
P14,"T18,T19",4,6,intermediate,I4,TDD1,TDD,0,4,0,170,81.40589569160997,83.00395256916995,3,0,28,65,86,65
P15,"T2,T3,T4",4,0,intermediate,I5,TLD1,TLD,0,1,0,1,0,68.02325581395348,0,0,1,64,97,97
P15,"T5,T6,T13,T14",4,1,intermediate,I5,TDD2,TDD,2,1,2,1,69.73684210526316,73.2620320855615,0,1,0,64,97,64
P15,"T7,T8,T15",4,2,intermediate,I5,TLD2,TLD,0,2,0,266,61.50627615062761,71.37254901960785,1,0,126,64,97,97
P15,"T9,T10",4,3,intermediate,I5,TDD1,TDD,1,2,196,336,72.04301075268818,75.71884984025559,0,70,70,64,97,64
P15,"T11,T12",4,4,intermediate,I5,NUT1,NUT,2,2,336,532,0,0,0,70,406,64,97,97
P15,"T16,T17",4,5,intermediate,I5,TLD1,TLD,3,0,336,0,81.3953488372093,83.09859154929578,0,70,0,64,97,97
P15,"T18,T19",4,6,intermediate,I5,TDD3,TDD,0,5,0,192,84.98789346246973,88.22314049586777,3,0,65,64,97,64
P16,"T2,T3,T4",4,0,intermediate,I6,TDD1,TDD,0,3,0,39,0,59.51219512195122,0,0,38,56,85,56
P16,"T5,T6,T13,T14",4,1,intermediate,I6,NUT1,NUT,1,5,1,1066,0,0,3,1,1066,56,85,85
P16,"T7,T8,T15",4,2,intermediate,I6,TLD3,TLD,0,1,0,126,66.20370370370371,70.54263565891473,0,0,70,56,85,85
P16,"T9,T10",4,3,intermediate,I6,TDD2,TDD,1,2,196,336,81.27853881278538,81.46718146718146,0,70,70,56,85,56
P16,"T11,T12",4,4,intermediate,I6,TLD1,TLD,6,3,1156,336,78.30188679245283,81.3953488372093,0,545,70,56,85,85
P16,"T16,T17",4,5,intermediate,I6,TDD3,TDD,2,0,197,0,84.2239185750636,84.98789346246973,0,70,0,56,85,56
P16,"T18,T19",4,6,intermediate,I6,TLD3,TLD,1,5,1154,959,86.19854721549636,88.13905930470348,2,0,38,56,85,85
P17,"T2,T3,T4",4,0,intermediate,I7,TDD3,TDD,0,3,0,142,0,86.23481781376518,0,0,141,70,87,70
P17,"T5,T6,T13,T14",4,1,intermediate,I7,TLD1,TLD,1,1,1,315,68.02325581395348,70.5223880597015,0,1,315,70,87,87
P17,"T7,T8,T15",4,2,intermediate,I7,TDD2,TDD,1,1,1,196,73.2620320855615,81.27853881278538,0,0,70,70,87,70
P17,"T9,T10",4,3,intermediate,I7,NUT1,NUT,1,2,196,336,0,0,0,70,70,70,87,87
P17,"T11,T12",4,4,intermediate,I7,TLD2,TLD,2,1,840,70,76.84210526315789,78.00586510263929,0,70,70,70,87,87
P17,"T16,T17",4,5,intermediate,I7,TDD1,TDD,2,0,761,0,79.14572864321607,81.40589569160997,0,70,0,70,87,70
P17,"T18,T19",4,6,intermediate,I7,TLD1,TLD,0,6,0,287,83.09859154929578,86.17234468937876,4,0,31,70,87,87
P6,"T2,T3,T4",3,0,novice,N1,TLD6,TLD,0,1,0,1,0,73.5632183908046,0,0,1,30,77,77
P6,"T5,T6,T13,T14",3,1,novice,N1,TDD6,TDD,3,6,93,2038,67.97752808988764,70.16806722689076,2,1,2037,30,77,30
P6,"T7,T8,T15",3,2,novice,N1,NUT2,NUT,0,7,0,1851,0,0,4,0,1725,30,77,77
P6,"T9,T10",3,3,novice,N1,TLD5,TLD,6,4,3369,483,72.9957805907173,75.82417582417582,0,247,210,30,77,77
P6,"T11,T12",3,4,novice,N1,TDD5,TDD,2,1,336,196,93.80530973451327,91.34615384615384,0,91,70,30,77,30
P6,"T16,T17",3,5,novice,N1,TLD4,TLD,12,3,5908,1461,21.57043879907621,78.55750487329435,0,5908,0,30,77,77
P6,"T18,T19",3,6,novice,N1,TDD4,TDD,4,4,2846,481,87.28024819027921,81.3528336380256,1,0,37,30,77,30
P7,"T2,T3,T4",3,0,novice,N2,TLD5,TLD,0,1,0,738,0,44.60431654676259,0,0,701,20,63,63
P7,"T5,T6,T13,T14",3,1,novice,N2,TDD5,TDD,4,5,95,1136,28.818443804034583,28.9544235924933,0,1,112,20,63,20
P7,"T7,T8,T15",3,2,novice,N2,TLD4,TLD,3,6,775,2220,69.62962962962963,72.29729729729729,0,455,1760,20,63,63
P7,"T9,T10",3,3,novice,N2,TDD6,TDD,1,7,196,3339,80.35714285714286,76.10837438423646,4,70,180,20,63,20
P7,"T11,T12",3,4,novice,N2,TLD6,TLD,2,13,1041,5909,56.84830633284241,55.69272976680384,9,950,5908,20,63,63
P7,"T16,T17",3,5,novice,N2,TDD4,TDD,2,4,490,2846,90.9090909090909,87.28024819027921,0,70,0,20,63,20
P7,"T18,T19",3,6,novice,N2,NUT2,NUT,9,11,6441,2520,0,0,4,283,371,20,63,63
P9,"T2,T3,T4",3,0,novice,N3,TDD5,TDD,0,4,0,95,0,28.818443804034583,0,0,1,39,82,39
P9,"T5,T6,T13,T14",3,1,novice,N3,TLD6,TLD,1,1,1,315,73.5632183908046,38,0,1,0,39,82,82
P9,"T7,T8,T15",3,2,novice,N3,TDD6,TDD,6,1,2038,196,70.16806722689076,80.35714285714286,0,2037,70,39,82,39
P9,"T9,T10",3,3,novice,N3,TLD4,TLD,6,5,2220,1308,72.29729729729729,74.21150278293135,0,1760,274,39,82,82
P9,"T11,T12",3,4,novice,N3,TDD4,TDD,7,2,1537,490,75.72254335260115,90.9090909090909,0,70,70,39,82,39
P9,"T16,T17",3,5,novice,N3,TLD5,TLD,4,2,1879,840,84.63541666666667,80.66666666666667,0,530,0,39,82,82
P9,"T18,T19",3,6,novice,N3,TDD5,TDD,1,7,19,136,86.47798742138365,86.79245283018868,4,0,37,39,82,39
P11,"T2,T3,T4",3,0,novice,N4,TDD4,TDD,0,3,0,634,0,79.06976744186046,0,0,38,31,66,31
P11,"T5,T6,T13,T14",3,1,novice,N4,TLD4,TLD,2,3,774,775,63.63636363636363,69.62962962962963,0,738,455,31,66,66
P11,"T7,T8,T15",3,2,novice,N4,TDD5,TDD,5,3,1136,740,28.9544235924933,90.05847953216374,1,112,700,31,66,31
P11,"T9,T10",3,3,novice,N4,NUT2,NUT,7,2,1851,336,0,0,0,1725,70,31,66,66
P11,"T11,T12",3,4,novice,N4,TLD5,TLD,4,4,483,1879,75.82417582417582,84.63541666666667,1,210,530,31,66,66
P11,"T16,T17",3,5,novice,N4,TDD6,TDD,3,3,2007,523,72.10401891252955,78.13688212927757,0,70,0,31,66,31
P11,"T18,T19",3,6,novice,N4,TLD6,TLD,7,7,973,397,44.37386569872958,50,2,560,181,31,66,66
P12,"T2,T3,T4",3,0,novice,N5,NUT2,NUT,0,3,0,5,0,0,0,0,1,40,71,71
P12,"T5,T6,T13,T14",3,1,novice,N5,TLD5,TLD,1,3,738,1331,44.60431654676259,45.04504504504504,0,701,343,40,71,71
P12,"T7,T8,T15",3,2,novice,N5,TDD4,TDD,3,2,1647,1071,82.23495702005731,85.47619047619048,0,37,70,40,71,40
P12,"T9,T10",3,3,novice,N5,TLD6,TLD,7,2,184,1041,46.56188605108055,56.84830633284241,0,93,950,40,71,71
P12,"T11,T12",3,4,novice,N5,TDD6,TDD,7,3,3339,2007,76.10837438423646,72.10401891252955,0,180,70,40,71,40
P12,"T16,T17",3,5,novice,N5,NUT2,NUT,12,9,5908,6441,0,0,0,5908,283,40,71,71
P12,"T18,T19",3,6,novice,N5,TLD4,TLD,3,13,1461,2528,78.55750487329435,81.58379373848987,9,0,484,40,71,71
P13,"T2,T3,T4",3,0,novice,N6,TLD4,TLD,0,2,0,774,0,63.63636363636363,0,0,738,27,63,63
P13,"T5,T6,T13,T14",3,1,novice,N6,TDD4,TDD,3,3,634,1647,79.06976744186046,82.23495702005731,0,38,37,27,63,27
P13,"T7,T8,T15",3,2,novice,N6,TLD5,TLD,3,6,1331,3369,45.04504504504504,72.9957805907173,0,343,247,27,63,63
P13,"T9,T10",3,3,novice,N6,TDD5,TDD,3,2,740,336,90.05847953216374,93.80530973451327,0,700,91,27,63,27
P13,"T11,T12",3,4,novice,N6,NUT2,NUT,2,12,336,5908,0,0,8,70,5908,27,63,63
P13,"T16,T17",3,5,novice,N6,TLD6,TLD,13,7,5909,973,55.69272976680384,44.37386569872958,0,5908,560,27,63,63
P13,"T18,T19",3,6,novice,N6,TDD6,TDD,3,12,523,1001,78.13688212927757,69.15776986951364,7,0,435,27,63,27
P5,"T2,T3,T4",3,0,novice,N7,TDD6,TDD,0,3,0,93,0,67.97752808988764,0,0,1,33,66,33
P5,"T5,T6,T13,T14",3,1,novice,N7,NUT2,NUT,3,0,5,0,0,0,0,1,0,33,66,66
P5,"T7,T8,T15",3,2,novice,N7,TLD6,TLD,1,7,315,184,38,46.56188605108055,3,0,93,33,66,66
P5,"T9,T10",3,3,novice,N7,TDD4,TDD,2,7,1071,1537,85.47619047619048,75.72254335260115,3,70,70,33,66,33
P5,"T11,T12",3,4,novice,N7,TLD4,TLD,5,12,1308,5908,74.21150278293135,21.57043879907621,5,274,5908,33,66,66
P5,"T16,T17",3,5,novice,N7,TDD5,TDD,1,1,196,19,91.34615384615384,86.47798742138365,0,70,0,33,66,33
P5,"T18,T19",3,6,novice,N7,TLD5,TLD,2,5,840,1616,80.66666666666667,71.86858316221766,2,0,573,33,66,66
P2,"T2,T3,T4",4,0,mixed,M1,NUT3,NUT,0,3,0,129,0,0,0,0,38,45,76,76
P2,"T5,T6,T13,T14",4,1,mixed,M1,TDD8,TDD,1,1,1,1,79.35779816513761,82.37547892720306,0,0,0,45,76,45
P2,"T7,T8,T15",4,2,mixed,M1,TDD7,TDD,4,1,673,70,48.93617021276596,76.3157894736842,0,672,70,45,76,45
P2,"T9,T10",4,3,mixed,M1,TLD8,TLD,1,2,161,315,65.83541147132169,82.25352112676056,0,70,70,45,76,76
P2,"T11,T12",4,4,mixed,M1,TLD7,TLD,2,1,231,70,63.87665198237885,79.88505747126437,0,70,70,45,76,76
P2,"T16,T17",4,5,mixed,M1,NUT3,NUT,2,0,71,0,0,0,0,70,0,45,76,76
P2,"T18,T19",4,6,mixed,M1,TDD7,TDD,1,6,252,31,79.65686274509804,81.00436681222708,5,0,31,45,76,45
P8,"T2,T3,T4",4,0,mixed,M2,TLD7,TLD,0,0,0,0,0,67.24137931034483,0,0,0,36,79,79
P8,"T5,T6,T13,T14",4,1,mixed,M2,NUT3,NUT,3,5,129,1625,0,0,1,38,1553,36,79,79
P8,"T7,T8,T15",4,2,mixed,M2,TDD8,TDD,1,1,1,196,82.37547892720306,87.54098360655738,0,0,70,36,79,36
P8,"T9,T10",4,3,mixed,M2,TDD7,TDD,1,5,70,330,76.3157894736842,76.79738562091504,3,70,210,36,79,36
P8,"T11,T12",4,4,mixed,M2,TLD8,TLD,2,2,315,448,82.25352112676056,83.58778625954199,0,70,154,36,79,79
P8,"T16,T17",4,5,mixed,M2,TLD7,TLD,1,0,70,0,79.88505747126437,81.21693121693121,0,70,0,36,79,79
P8,"T18,T19",4,6,mixed,M2,TDD8,TDD,9,8,1154,1012,69.11196911196912,81.55339805825243,1,998,884,36,79,36
P10,"T2,T3,T4",4,0,mixed,M3,TLD8,TLD,0,1,0,1,0,79.48717948717949,0,0,1,36,83,83
P10,"T5,T6,T13,T14",4,1,mixed,M3,TLD7,TLD,0,0,0,0,67.24137931034483,67.24890829694323,0,0,0,36,83,83
P10,"T7,T8,T15",4,2,mixed,M3,NUT3,NUT,5,2,1625,133,0,0,0,1553,70,36,83,83
P10,"T9,T10",4,3,mixed,M3,TDD8,TDD,1,4,196,1257,87.54098360655738,81.35593220338983,1,70,1125,36,83,36
P10,"T11,T12",4,4,mixed,M3,TDD7,TDD,5,2,330,154,76.79738562091504,80.67226890756302,0,210,70,36,83,36
P10,"T16,T17",4,5,mixed,M3,TLD8,TLD,2,1,448,420,83.58778625954199,75.69786535303777,0,154,0,36,83,83
P10,"T18,T19",4,6,mixed,M3,TLD7,TLD,0,4,0,913,81.21693121693121,73.58490566037736,2,0,52,36,83,83
P18,"T2,T3,T4",3,0,mixed,M4,TDD7,TDD,0,4,0,941,0,75.69444444444444,0,0,743,34,67,34
P18,"T5,T6,T13,T14",3,1,mixed,M4,TLD8,TLD,1,2,1,1015,79.48717948717949,77.8225806451613,1,1,455,34,67,67
P18,"T7,T8,T15",3,2,mixed,M4,TLD7,TLD,0,1,0,70,67.24890829694323,74.04580152671755,0,0,70,34,67,67
P18,"T9,T10",3,3,mixed,M4,NUT3,NUT,2,2,133,210,0,0,0,70,70,34,67,67
P18,"T11,T12",3,4,mixed,M4,TDD8,TDD,4,4,1257,1482,81.35593220338983,82.27360308285164,0,1125,1111,34,67,34
P18,"T16,T17",3,5,mixed,M4,TDD7,TDD,2,1,154,252,80.67226890756302,79.65686274509804,0,70,0,34,67,34
P18,"T18,T19",3,6,mixed,M4,TLD8,TLD,1,4,420,586,75.69786535303777,79.93827160493827,2,0,55,34,67,67
P19,"T2,T3,T4",2,0,mixed,M5,TDD8,TDD,0,1,0,1,0,79.35779816513761,0,0,0,27,75,27
P19,"T5,T6,T13,T14",2,1,mixed,M5,TDD7,TDD,4,4,941,673,75.69444444444444,48.93617021276596,0,743,672,27,75,27
P19,"T7,T8,T15",2,2,mixed,M5,TLD8,TLD,2,1,1015,161,77.8225806451613,65.83541147132169,0,455,70,27,75,75
P19,"T9,T10",2,3,mixed,M5,TLD7,TLD,1,2,70,231,74.04580152671755,63.87665198237885,0,70,70,27,75,75
P19,"T11,T12",2,4,mixed,M5,NUT3,NUT,2,2,210,71,0,0,0,70,70,27,75,75
P19,"T16,T17",2,5,mixed,M5,TDD8,TDD,4,9,1482,1154,82.27360308285164,69.11196911196912,4,1111,998,27,75,27
P19,"T18,T19",2,6,mixed,M5,NUT3,NUT,0,7,0,1597,0,0,5,0,1488,27,75,75
